fid	nid	filename	filepath	filemime	filesize
153	134	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters6.thumbnail.jpg	image/jpeg	2110
154	134	preview	sites/files/gainesfilm/images/B_demille_1933_letters6.preview.jpg	image/jpeg	51037
155	135	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues1.jpg	image/jpeg	1003654
156	135	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues1.thumbnail.jpg	image/jpeg	2163
157	135	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues1.preview.jpg	image/jpeg	53259
158	136	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues2.jpg	image/jpeg	1095842
159	136	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues2.thumbnail.jpg	image/jpeg	2242
160	136	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues2.preview.jpg	image/jpeg	59706
161	137	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues3.jpg	image/jpeg	889822
162	137	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues3.thumbnail.jpg	image/jpeg	2063
163	137	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues3.preview.jpg	image/jpeg	40579
164	138	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues4.jpg	image/jpeg	513536
165	138	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues4.thumbnail.jpg	image/jpeg	2110
166	138	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues4.preview.jpg	image/jpeg	44014
167	139	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues5.jpg	image/jpeg	737527
168	139	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues5.thumbnail.jpg	image/jpeg	1904
169	139	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues5.preview.jpg	image/jpeg	34074
170	140	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues6.jpg	image/jpeg	820605
171	140	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues6.thumbnail.jpg	image/jpeg	2178
172	140	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues6.preview.jpg	image/jpeg	42691
173	141	_original	sites/files/gainesfilm/images/cinema_16_dist_catalogues7.jpg	image/jpeg	819799
174	141	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalogues7.thumbnail.jpg	image/jpeg	2120
175	141	preview	sites/files/gainesfilm/images/cinema_16_dist_catalogues7.preview.jpg	image/jpeg	41911
180	142	_original	sites/files/gainesfilm/images/brakhage_conversation1.jpg	image/jpeg	1224072
181	142	thumbnail	sites/files/gainesfilm/images/brakhage_conversation1.thumbnail.jpg	image/jpeg	2341
182	142	preview	sites/files/gainesfilm/images/brakhage_conversation1.preview.jpg	image/jpeg	62949
183	143	_original	sites/files/gainesfilm/images/brakhage_conversation2.jpg	image/jpeg	1255627
184	143	thumbnail	sites/files/gainesfilm/images/brakhage_conversation2.thumbnail.jpg	image/jpeg	2425
185	143	preview	sites/files/gainesfilm/images/brakhage_conversation2.preview.jpg	image/jpeg	49401
186	144	_original	sites/files/gainesfilm/images/brakhage_conversation3.jpg	image/jpeg	1296464
187	144	thumbnail	sites/files/gainesfilm/images/brakhage_conversation3.thumbnail.jpg	image/jpeg	2357
188	144	preview	sites/files/gainesfilm/images/brakhage_conversation3.preview.jpg	image/jpeg	57657
189	145	_original	sites/files/gainesfilm/images/vogel-anger_letters1.jpg	image/jpeg	1341735
190	145	thumbnail	sites/files/gainesfilm/images/vogel-anger_letters1.thumbnail.jpg	image/jpeg	2218
191	145	preview	sites/files/gainesfilm/images/vogel-anger_letters1.preview.jpg	image/jpeg	62985
